Année,Mois,Jour,Saison,Consommation (MW),Production (MW),Energies renouvelables (MW),Température moyenne (°C),Température référence (°C),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW)
2013,4,23,1,2570336.0,2917105.0,582077.0,12.2,12.9,192445.0,2142583.0,30711.0,35570.0,486759.0,29037.0
2013,4,24,1,2477668.0,2864330.0,587397.0,14.8,13.1,172064.0,2104869.0,20894.0,45021.0,491680.0,29802.0
2013,4,27,1,2341923.0,2734699.0,660321.0,7.9,13.5,73582.0,2000796.0,91841.0,18368.0,518974.0,31138.0
2013,4,28,1,2326941.0,2628438.0,592455.0,7.8,13.6,84381.0,1951602.0,38575.0,20857.0,502381.0,30642.0
2013,4,29,1,2686967.0,2824658.0,637747.0,9.7,13.7,173670.0,2013241.0,49308.0,21508.0,536874.0,30057.0
2013,4,30,1,2693746.0,2912296.0,691365.0,10.9,13.8,187711.0,2033220.0,139876.0,18063.0,502837.0,30589.0
2013,5,1,1,2229834.0,2550035.0,622108.0,11.9,14.0,52592.0,1875335.0,87384.0,28080.0,474939.0,31705.0
2013,5,3,1,2503612.0,2837981.0,654424.0,12.6,14.2,132921.0,2050636.0,65935.0,30228.0,526788.0,31473.0
2013,5,4,1,2213188.0,2668959.0,627139.0,12.8,14.3,49032.0,1992788.0,57629.0,40418.0,496116.0,32976.0
2013,5,5,1,2013983.0,2510085.0,588693.0,14.1,14.5,44915.0,1876477.0,25795.0,39816.0,490769.0,32313.0
2013,5,6,1,2315566.0,2794880.0,668377.0,14.8,14.6,98522.0,2027981.0,24669.0,43689.0,568682.0,31337.0
2013,5,7,1,2312318.0,2827446.0,647095.0,15.9,14.7,109694.0,2070657.0,18113.0,31637.0,566151.0,31194.0
2013,5,8,1,2013289.0,2674709.0,647585.0,15.7,14.8,48849.0,1978275.0,73961.0,30931.0,510725.0,31968.0
2013,5,10,1,2162161.0,2762957.0,736087.0,12.6,15.1,44172.0,1982698.0,121729.0,33982.0,547936.0,32440.0
2013,5,11,1,2090922.0,2624584.0,725626.0,12.8,15.2,43938.0,1855020.0,131787.0,35831.0,525311.0,32697.0
2013,5,12,1,2014059.0,2453107.0,713687.0,12.1,15.3,43155.0,1696265.0,136938.0,34046.0,510395.0,32308.0
2013,5,13,1,2399086.0,2908620.0,776127.0,13.2,15.4,61217.0,2071276.0,140364.0,34606.0,570592.0,30565.0
2013,5,14,1,2466958.0,2962590.0,725169.0,13.1,15.6,74683.0,2162738.0,86788.0,36470.0,572025.0,29886.0
2013,5,15,1,2489332.0,2932656.0,685984.0,11.9,15.7,113686.0,2132986.0,83049.0,21052.0,551094.0,30789.0
2013,5,16,1,2554910.0,2963494.0,644095.0,10.5,15.8,137098.0,2182301.0,23909.0,25165.0,563692.0,31329.0
2013,5,17,1,2515805.0,2910192.0,657563.0,11.3,15.9,134475.0,2118154.0,27834.0,33242.0,564447.0,32040.0
2013,5,19,1,2131593.0,2578532.0,598801.0,11.3,16.1,42437.0,1937294.0,56332.0,25454.0,483717.0,33298.0
2013,5,20,1,2245718.0,2697140.0,660097.0,11.2,16.2,61844.0,1975199.0,72949.0,27441.0,528023.0,31684.0
2013,5,21,1,2604890.0,2931234.0,722130.0,11.9,16.3,149443.0,2059661.0,76003.0,19696.0,595889.0,30542.0
2013,5,23,1,2619285.0,2972249.0,763535.0,10.3,16.6,154887.0,2053827.0,121740.0,31801.0,579474.0,30520.0
2013,5,24,1,2714336.0,2995450.0,742640.0,8.0,16.7,169233.0,2083577.0,75416.0,31560.0,604819.0,30845.0
2013,5,26,1,2205453.0,2590433.0,646010.0,10.9,16.9,42282.0,1902141.0,59446.0,43708.0,510600.0,32256.0
2013,5,27,1,2458978.0,2828245.0,701374.0,13.0,17.0,100163.0,2026708.0,32814.0,45353.0,591616.0,31591.0
2013,5,28,1,2526417.0,2860114.0,739452.0,11.8,17.1,124397.0,1996265.0,85094.0,23271.0,599797.0,31290.0
2013,5,31,1,2545948.0,2981293.0,754976.0,13.1,17.4,130369.0,2095948.0,122115.0,27317.0,573666.0,31878.0
