,Code INSEE région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW),Production (MW),Energies renouvelables (MW),Année,Mois,Jour,TMin (°C),TMax (°C),TMoy (°C)
97,11,424742.0,2307.0,0.0,478.0,545.0,133.0,5370.0,8833.0,6526.0,2016,04,07,4.8,11.7,8.25
98,11,422165.0,-526.0,0.0,95.0,441.0,52.0,5939.0,6001.0,6527.0,2016,04,08,5.9,13.75,9.82
99,11,388053.0,-348.0,0.0,210.0,464.0,48.0,6021.0,6395.0,6743.0,2016,04,09,3.6,13.8,8.7
100,11,363605.0,-337.0,0.0,491.0,856.0,79.0,5741.0,6830.0,7167.0,2016,04,10,1.78,17.48,9.63
101,11,404622.0,2086.0,0.0,234.0,239.0,214.0,4930.0,7703.0,5617.0,2016,04,11,9.48,14.94,12.21
102,11,411069.0,-307.0,0.0,124.0,483.0,331.0,4350.0,4981.0,5288.0,2016,04,12,4.12,16.46,10.29
103,11,393700.0,3933.0,0.0,160.0,547.0,359.0,4713.0,9712.0,5779.0,2016,04,13,8.74,17.38,13.06
104,11,387444.0,-266.0,0.0,174.0,534.0,408.0,4690.0,5540.0,5806.0,2016,04,14,6.54,16.82,11.68
105,11,380594.0,-291.0,0.0,670.0,539.0,408.0,4748.0,6074.0,6365.0,2016,04,15,8.8,16.48,12.64
106,11,349075.0,-323.0,0.0,361.0,479.0,422.0,4988.0,5927.0,6250.0,2016,04,16,8.5,15.2,11.85
107,11,353953.0,-332.0,0.0,219.0,547.0,440.0,5433.0,6307.0,6639.0,2016,04,17,3.24,11.1,7.17
108,11,408731.0,15576.0,0.0,133.0,813.0,364.0,5580.0,22466.0,6890.0,2016,04,18,1.34,14.42,7.88
109,11,394294.0,15855.0,0.0,209.0,685.0,300.0,5629.0,22678.0,6823.0,2016,04,19,3.24,15.86,9.55
110,11,379352.0,6620.0,0.0,1042.0,803.0,317.0,5666.0,14448.0,7828.0,2016,04,20,5.9,19.0,12.45
111,11,363868.0,2643.0,0.0,172.0,557.0,333.0,5735.0,9440.0,6797.0,2016,04,21,9.86,21.0,15.43
112,11,353835.0,-324.0,0.0,119.0,355.0,452.0,5808.0,6410.0,6734.0,2016,04,22,11.04,16.84,13.94
113,11,342347.0,-287.0,0.0,341.0,268.0,461.0,5666.0,6449.0,6736.0,2016,04,23,7.78,11.0,9.39
114,11,366264.0,-309.0,0.0,284.0,339.0,481.0,5565.0,6360.0,6669.0,2016,04,24,1.28,8.88,5.08
115,11,433304.0,-285.0,0.0,743.0,289.0,480.0,5334.0,6561.0,6846.0,2016,04,25,2.04,11.14,6.59
116,11,436552.0,3257.0,0.0,555.0,407.0,464.0,5366.0,10049.0,6792.0,2016,04,26,2.82,9.28,6.05
117,11,446842.0,-276.0,0.0,277.0,611.0,506.0,5440.0,6558.0,6834.0,2016,04,27,0.96,10.92,5.94
118,11,437852.0,2300.0,0.0,74.0,629.0,485.0,5538.0,9026.0,6726.0,2016,04,28,0.08,12.88,6.48
119,11,414066.0,-349.0,0.0,458.0,519.0,559.0,5665.0,6852.0,7201.0,2016,04,29,4.12,14.22,9.17
120,11,391161.0,-276.0,0.0,360.0,317.0,562.0,6050.0,7013.0,7289.0,2016,04,30,5.4,10.24,7.82
121,11,359755.0,-270.0,0.0,562.0,893.0,554.0,5778.0,7517.0,7787.0,2016,05,01,2.48,15.54,9.01
122,11,395290.0,2587.0,0.0,159.0,718.0,569.0,6374.0,10407.0,7820.0,2016,05,02,3.24,18.7,10.97
123,11,381689.0,14685.0,0.0,202.0,737.0,536.0,6824.0,22984.0,8299.0,2016,05,03,7.8,16.48,12.14
124,11,374906.0,11095.0,0.0,271.0,838.0,592.0,6947.0,19743.0,8648.0,2016,05,04,4.36,18.04,11.2
125,11,315072.0,-221.0,0.0,529.0,757.0,619.0,6866.0,8550.0,8771.0,2016,05,05,7.06,20.16,13.61
126,11,322225.0,1175.0,0.0,187.0,891.0,589.0,6715.0,9557.0,8382.0,2016,05,06,8.2,24.78,16.49
127,11,292713.0,-217.0,0.0,257.0,706.0,636.0,6959.0,8341.0,8558.0,2016,05,07,12.34,23.32,17.83
128,11,281070.0,5108.0,0.0,534.0,840.0,615.0,7041.0,14138.0,9030.0,2016,05,08,12.36,25.1,18.73
129,11,335584.0,-164.0,0.0,405.0,363.0,592.0,6839.0,8035.0,8199.0,2016,05,09,15.9,20.34,18.12
130,11,347217.0,2492.0,0.0,129.0,230.0,567.0,7148.0,10566.0,8074.0,2016,05,10,14.34,18.04,16.19
131,11,349943.0,-145.0,0.0,35.0,256.0,612.0,6761.0,7519.0,7664.0,2016,05,11,12.3,17.24,14.77
132,11,350622.0,2508.0,0.0,131.0,264.0,567.0,7212.0,10682.0,8174.0,2016,05,12,12.65,19.6,16.12
133,11,341532.0,-153.0,0.0,125.0,492.0,517.0,6825.0,7806.0,7959.0,2016,05,13,13.9,22.72,18.31
134,11,313284.0,-151.0,0.0,402.0,410.0,378.0,6752.0,7791.0,7942.0,2016,05,14,9.1,14.08,11.59
135,11,305924.0,-158.0,0.0,124.0,520.0,153.0,6863.0,7502.0,7660.0,2016,05,15,3.66,15.82,9.74
136,11,322992.0,-140.0,0.0,118.0,457.0,158.0,6836.0,7429.0,7569.0,2016,05,16,6.76,16.82,11.79
137,11,357286.0,-127.0,0.0,70.0,640.0,261.0,6819.0,7663.0,7790.0,2016,05,17,6.16,18.58,12.37
138,11,354233.0,-159.0,0.0,498.0,377.0,330.0,6811.0,7857.0,8016.0,2016,05,18,11.7,16.6,14.15
139,11,369776.0,-191.0,0.0,588.0,334.0,370.0,6451.0,7552.0,7743.0,2016,05,19,8.72,16.72,12.72
140,11,356257.0,-157.0,0.0,209.0,368.0,408.0,6192.0,7020.0,7177.0,2016,05,20,10.34,20.8,15.57
141,11,309478.0,-180.0,0.0,180.0,705.0,414.0,6865.0,7984.0,8164.0,2016,05,21,12.42,24.38,18.4
142,11,299071.0,-215.0,0.0,292.0,166.0,385.0,6432.0,7060.0,7275.0,2016,05,22,12.92,16.46,14.69
143,11,362804.0,-187.0,0.0,438.0,265.0,332.0,5422.0,6270.0,6457.0,2016,05,23,10.36,15.0,12.68
144,11,371688.0,530.0,0.0,112.0,398.0,246.0,5697.0,6983.0,6453.0,2016,05,24,8.0,14.66,11.33
145,11,359571.0,-167.0,0.0,188.0,729.0,209.0,5805.0,6764.0,6931.0,2016,05,25,7.08,19.94,13.51
146,11,350066.0,3725.0,0.0,119.0,520.0,257.0,5502.0,10123.0,6398.0,2016,05,26,10.56,21.46,16.01
147,11,340416.0,-138.0,0.0,8.0,666.0,289.0,5718.0,6543.0,6681.0,2016,05,27,12.48,24.62,18.55
148,11,303247.0,-123.0,0.0,130.0,412.0,402.0,5280.0,6101.0,6224.0,2016,05,28,13.5,22.48,17.99
149,11,292076.0,-134.0,0.0,138.0,143.0,358.0,5765.0,6270.0,6404.0,2016,05,29,14.52,17.76,16.14
150,11,357218.0,-79.0,0.0,755.0,80.0,196.0,5577.0,6529.0,6608.0,2016,05,30,12.24,13.54,12.89
151,11,372354.0,4701.0,0.0,521.0,97.0,0.0,5543.0,10862.0,6161.0,2016,05,31,12.02,14.32,13.17
152,11,362537.0,-170.0,0.0,206.0,224.0,0.0,5294.0,5554.0,5724.0,2016,06,01,13.34,17.0,15.17
153,11,367851.0,1170.0,0.0,448.0,114.0,0.0,4983.0,6715.0,5545.0,2016,06,02,12.18,13.18,12.68
154,11,369301.0,8424.0,0.0,95.0,141.0,0.0,5032.0,13692.0,5268.0,2016,06,03,10.64,13.36,12.0
155,11,326062.0,-129.0,0.0,62.0,269.0,0.0,4950.0,5152.0,5281.0,2016,06,04,12.16,17.38,14.77
156,11,303471.0,-134.0,0.0,35.0,277.0,0.0,5423.0,5601.0,5735.0,2016,06,05,13.52,19.84,16.68
157,11,345286.0,-144.0,0.0,7.0,514.0,0.0,5475.0,5852.0,5996.0,2016,06,06,13.04,23.96,18.5
158,11,340015.0,-154.0,0.0,106.0,758.0,0.0,5185.0,5895.0,6049.0,2016,06,07,14.74,26.82,20.78
159,11,336141.0,-140.0,0.0,175.0,671.0,0.0,5207.0,5913.0,6053.0,2016,06,08,14.68,23.46,19.07
160,11,335733.0,-80.0,0.0,131.0,800.0,0.0,5604.0,6455.0,6535.0,2016,06,09,11.94,23.62,17.78
161,11,329283.0,-141.0,0.0,132.0,617.0,0.0,5921.0,6529.0,6670.0,2016,06,10,13.44,23.64,18.54
162,11,296552.0,-119.0,0.0,80.0,402.0,0.0,6229.0,6592.0,6711.0,2016,06,11,15.56,21.14,18.35
163,11,284628.0,-126.0,0.0,296.0,362.0,0.0,6160.0,6692.0,6818.0,2016,06,12,14.28,19.44,16.86
164,11,331648.0,3077.0,0.0,188.0,385.0,0.0,6310.0,9960.0,6883.0,2016,06,13,12.0,18.3,15.15
165,11,333534.0,8910.0,0.0,378.0,543.0,0.0,6134.0,15965.0,7055.0,2016,06,14,13.66,19.44,16.55
166,11,339544.0,-182.0,0.0,181.0,632.0,0.0,6651.0,7282.0,7464.0,2016,06,15,11.56,20.74,16.15
167,11,340580.0,-324.0,0.0,85.0,414.0,0.0,6567.0,6742.0,7066.0,2016,06,16,12.56,19.02,15.79
168,11,333831.0,206.0,0.0,249.0,555.0,0.0,6652.0,7662.0,7456.0,2016,06,17,12.0,20.78,16.39
